Tweet,Annotation,Guideline
RT @melissagray_: im confused....just go to your local marine base???? looks like an typical marine https://t.co/wta5eXk8O2,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @Jaywop6: Don’t put no Avery Bradley highlight reel from 2 years ago on my TL,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"RT @jano88703942: @UNrefugees Will you put the end for the long suffering of Iraqi asylum seekers and refugees in the host countries,AND, g…",Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @doolsetbangtan: [Exclusive/Unconfirmed] @BTS_twt will continue its stadium tour in Seoul in late October at Jamail Olympic Stadium. The…,Not Humorous,"""Trivia, facts, news headlines"""
RT @TierraTraniece: Don’t skip leg day girls!🧡 https://t.co/p7bTReBS1i,Not Humorous,"""Statements that make absolutely no attempt at humour"""
Id love to be tonguing your ass !,Unsure,"Unsure - can be ""Innuendos, double entendres, a hint of vulgarity."" or ""Racist, extremely offensive tweets."""
RT @TopTierNSFW: Retweet for goodluck ✨ https://t.co/gMmFonWeH5,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @Todd_1014: Alexander Breck  Photographed by Frank Marando https://t.co/IKZIGn5vuE,Not Humorous,"""Statements that make absolutely no attempt at humour"""
Arby's date with babe too end our long break from hell. Back to the grind tomorrow! 🤷,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive"""
RT @ashakiiii: LETS DO IT AGAIN #Blacktwitter 👸🏾🤴🏾👸🏾🤴🏾👸🏾🤴🏾  IF YOU’RE A BLACKTWITTER FAN 🗣🗣🗣🗣 LIKE &amp; RETWEET THIS !!!!!!!! I USED TO HAVE 0…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"@yagirlmollsxo I call what I wear to work my costume, because it isn’t who I am at all.",Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."" or ""Exaggerations, dramatic tweets""?"
"@Just_A_Mug_ Lucky bastard, hope he appreciates what he’s got",Humorous,"Unsure - ""Tweets that are sarcastic or making fun of things, even possibly a bit offensive.""?"
@GABrownsGuy You and Mike enjoy Amy Schumer comedy specials,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @backstreetboys: Wishing our man @CarsonDaly a big happy birthday! https://t.co/pP3XKK7VBC,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"RT @renyuwe14: Msg to LGBT community  ""I hope we can make a better place together, for everybody, for all equal rights."" - svt vernon",Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @3ahr0na4: My #TeenChoice for #ChoiceSummerTour is BLACKPINK IN YOUR AREA @ygofficialblink . https://t.co/5YsPj2vQOa,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@redblugreenbean agony,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @Bechirhorcheni: @kirimixer @LittleMix Four My #TeenChoice for #ChoiceSummerGroup is @LittleMix,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"[80's Edition] Saturday, July 13th, Join Me And A Few Other Dopeee Artists Celebrate The Release Of @mrfeelgood87 &amp;… https://t.co/eCWvHmGp3Q",Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @yfndell: I feel like turnin up😂,Humorous,"""A tweet containing a 😂 or similar emoji, acronyms like lol, lmao, rofl are most likely humorous"""
"RT @HESilf: ""greets a fan"" is now my favorite euphemism https://t.co/namyhNuaAl",Not Humorous,"""Statements that make absolutely no attempt at humour"""
London stabbing - man in 30s rushed to hospital after ANOTHER stabbing attack as knife crime wave continues https://t.co/4abx7D46pf,Not Humorous,"""Trivia, facts, news headlines"""
RT @vncntngyn: just found out sometimes girls cry themselves to sleep at night https://t.co/GwzXPSauV9,Unsure,
"RT @PromotionBreezy: Even after 14 years of career, Chris Brown got gold on his last two albums in just one week. 🏆 https://t.co/oSLhUvqmHM",Not Humorous,"""Statements that make absolutely no attempt at humour"""
Good morning! 🌻🌻,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"Hello! You. ✋🏼 Stop scrolling for just a sec... I want to know, how are you? Like really! In an ideal world I’d be… https://t.co/Fk0XK9Xjst",Humorous,"Unsure - depends on context because text is cut off, but based on shown text it seems to try to be humorous?"
"RT @KnightAzyr: Please share this, and maybe commission me if you can. Thank you! https://t.co/R3HZC5rr7m",Not Humorous,"""Statements that make absolutely no attempt at humour"""
Let's get started!,Not Humorous,"""Statements that make absolutely no attempt at humour"""
Bummer. Car overheated during 3rd session. Either water pump or thermostat failed. $$$ tow to mechanics right now.,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"RT @DogasusBackpack: ""I Choose You!"" &amp; ""Everyone's Story"" artist:  Yoshitaka Shinomiya (四宮義俊)  ""Mewtwo Strikes Back Evolution"" artist: Hiji…",Not Humorous,"""Statements that make absolutely no attempt at humour"""
@itzychavarin 🤣🤣🤣 BITCH,Humorous,"""A tweet containing a 😂 or similar emoji, acronyms like lol, lmao, rofl are most likely humorous"""
RT @AryaKuli: Crott https://t.co/8xFpYEdMfh,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @SadFryG: They forced him to drink gasoline then burned him to death yet some still think israel is peaceful. Fuck y’all https://t.co/Gg…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"RT @OK_Dumbass: @MollyJongFast Cy Vance also needs to spend some time in prison.  But we already knew that, after his cave-in to Marc Kasow…",Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @DEADLINE: Kevin Spacey Assault Case May Be Tossed After Accuser Takes The Fifth Over Deleted Phone Data https://t.co/KFCdKPfG9Q https:/…,Not Humorous,"""Trivia, facts, news headlines"""
RT @smithkyliee: I really don’t want people that don’t want better for themselves in my life or around me anymore,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @michaelgervais: How can you remain calm when it seems like you're facing an insurmountable challenge? @acheyer has the answer https://t…,Unsure,
"RT @JonahNRO: But since I have your attention, there are a remarkable number of people who think it’s fine to break glass in the woods. Mos…",Unsure,
@MineSweepa Fuck em,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@rxbyxj ARE YOU JOKING THAT HURT MY EARS. ID HATE LIVING NEAR THAT PARK,Humorous,"""Exaggerations, dramatic tweets"""
@musictakesbot So Kurt Cobain's band is Kurt Cobain for jocks. Aight,Unsure,
Ah yes...that’s the photo I was recalling...sure looks like “a” island...but is it “the” island?  Maybe he can prov… https://t.co/D2C8EYcp71,Unsure,
RT @ImReallyOutHere: Today at the happiest place on earth. https://t.co/79j2godsUz,Unsure,
RT @BrendaC07819987: @DrRJKavanagh Cy Vance is the same DA that refused to bring charges of real estate fraud against Ivanka and Don Jr ove…,Not Humorous,"""Trivia, facts, news headlines"""
"I messed up the inventory, still some steam shovel hats left. I’m not good at math",Humorous,"Unsure - ""Tweets that are sarcastic or making fun of things, even possibly a bit offensive.""?"
RT @MrMcCockiner: Bro it’s fucking insane how dudes born in 2000 are now professional athletes. I remember having Pokémon card battles in K…,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
"@HarrisonSmith85 I think people are way too hard on this movie.  I mean, the shark jumped out of the water, stood o… https://t.co/Mf9JRH6KIv",Not Humorous,"""Statements that make absolutely no attempt at humour"""
And here we go https://t.co/gkRnL84VcA,Unsure,
RT @Nakamura3E: The way they can't reach each other💔 https://t.co/k5jFcuyCyi,Unsure,
"@Melodic__Cudgel ""Roman?""",Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @TrumpStudents: @realDonaldTrump @GOPLeader @GavinNewsom Thank you President Trump for Keeping America Safe 🇺🇸,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"RT @latalani: If we flop w the voting this time when it’s an ACTUAL CATEGORY WE’RE NOMINATED UNDER, imma be pressed  Ik I’m a super small a…",Not Humorous,"""Statements that make absolutely no attempt at humour"""
@derek11027093 @YouTube Sorry can't listen won't stay connected don't like them a whole lot a few but,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @Ibra_official: My favourite team of all time. I only have to decide the coach. Maybe will be Zlatan https://t.co/MvRN5krxPc,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@ssbu_MGF i remember abt this one guy who posted ********* **** gifs all the time,Unsure,
RT @arnellarmon: Stop holding onto people that didn’t appreciate you when they had you,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"Houndour Lvl 35 cp 1146 iv 100 -33.400138,-70.592633",Not Humorous,Don't understand
RT @goodbeanalt: her: I like guys that are 6 feet😍😍  me: *looking down at my 2 feet* shit,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
"About #marketing, #sales, #communication: https://t.co/WImo9nXeW9",Not Humorous,"""Statements that make absolutely no attempt at humour"""
"RT @MayorofLondon: Our new cycling infrastructure, including protected bike lanes, has meant more Londoners are using bicycles to get aroun…",Not Humorous,"""Trivia, facts, news headlines"""
Today has been a mentally draining ass day😴,Not Humorous,"""Statements that make absolutely no attempt at humour"""
Florida’s Utilities Keep Homeowners From Making the Most of Solar Power https://t.co/yIPgdkZU9E,Not Humorous,"""Trivia, facts, news headlines"""
@wthyunho @: ☆☆☆☆☆ layout: ☆☆☆☆☆ bio: ☆☆☆☆☆ pinned: ☆☆☆☆☆,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@michaeljohns @Anonagain3 @LBC Back across the pond for this one.,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@coachdan_19 Skills alone isn't a guarantee for success.. You think Messi and Ronaldo dwell  and thrive only on nat… https://t.co/P9gDHCxwqv,Not Humorous,"""Trivia, facts, news headlines"""
There’s been people in my DMs asking me about wholesaling and I put my ego aside and tell folks that I’m new and fr… https://t.co/wLO2l0uDPs,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@kheti_thegreat Nappy Hut Savannah it’s beside the school,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @___Alasiah: I’m still young but I’m ready to have it ALL together 😭,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
Do I wanna have sex with my girls mother or my girl when she gets older?... hmm,Not Humorous,"""Racist, extremely offensive tweets."""
Heat damage is such a scary thing. I don’t ever want to experience it. I avoid straighteners &amp; hairdryers like the plague 😂😭,Humorous,"""A tweet containing a 😂 or similar emoji, acronyms like lol, lmao, rofl are most likely humorous"""
There's an Adelaide link to the Home Run Derby!  @Dodgers 3B coach Dino Ebel was an import for the Adelaide Giants… https://t.co/FytQZ1frKZ,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @ShannonSharpe: Agree or Disagree? https://t.co/FmLUGzxqHT,Unsure,
RT @eveestg: THEY PLAYED THE WRONG SONG FOR THE NATIONAL ANTHEM I- https://t.co/7hM1riH1IO,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
"RT @billboardcharts: This week's top 5 on the #WorldDigitalSongSales chart:  1. @BTS_twt ""Heartbeat"" (debut) 2. @BTS_twt ""Lights"" (debut) 3…",Not Humorous,"""Trivia, facts, news headlines"""
RT @TeenChoiceFOX: Don't sleep on retweeting this to vote for @billieeilish's When We All Fall Asleep Tour for #ChoiceSummerTour! 💤 #TeenCh…,Humorous,Pun?
"RT @MarkWarner: REMINDER: in under 24 hours, the Trump Administration will head to court to overturn the Affordable Care Act and   ❌  Strik…",Not Humorous,"""Trivia, facts, news headlines"""
u know you're coping up with depression too well when you're doing your kilay too strong. leggo kick some negativit… https://t.co/vmlz9G9lZJ,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@dbongino Gotta find me some Home Depot.,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @BeshieKaories: I'm sure lalayag ulit to pero it'll be blue na !  Can't wait💙     @kaori_oinuma @DarlingKaori @PBBabscbn #BringBackKAORI…,Unsure,Don't understand
"RT @nuearthangel: If you've never known what a healthy relationship is, you may subconciously try to create chaos because you feel ""bored""…",Not Humorous,"""Trivia, facts, news headlines"""
RT @ArmyBrigade13: To gather stars  1. Go to events   2. Scroll to the bottom until you find the star  3. Click the star and you are given…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
How the fuck do you have an elimination mixed tag without intergender? #wwe #RAW,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"@catfynli i.... LOVE THIS.......... my horse girl, warrior stan heart is so full 💓😭",Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @FHawk94: I'm live everyone &lt;3 Come check me out on mixer at  https://t.co/KGqSPxSy8I @WatchMixer @MixerShares @MixerStreams @MixerRetwe…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @judyschear: Love this. ❤️   Parents: don’t abandon your kids.  It’s heartbreaking.  #Pride2019 https://t.co/O3M2W79Rx8,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"@marklevinshow I don't really care if anyone likes or dislikes our country. I love it, but that's the beauty of our country.",Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @shancherxo: look at her face 😂😭 this is toddlers when you ask them what’s in their mouth. https://t.co/e3cl6QacLT,Humorous,"""A tweet containing a 😂 or similar emoji, acronyms like lol, lmao, rofl are most likely humorous"""
RT @OGTREEZ: Me at work acting fake busy for the last 30 minutes of my shift https://t.co/BIu2GJTZPR,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
RT @SourceDuMal: This is how you market a bra. This is a STRAPLESS BRA she is doing a cartwheel in people. This company goes up to a K cup.…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"RT @LiiiimDixoonn: In Singapore, they let you drown in anything. Debts, depression, stress, bedok reservoir etc. https://t.co/fO5B92s2go",Humorous,"""Innuendos, double entendres, a hint of vulgarity."""
I feel like crying. It's ok tho,Not Humorous,"""Statements that make absolutely no attempt at humour"""
Finally finished stranger things and I'm just fucking !!!!!!!! UGH,Not Humorous,"""Statements that make absolutely no attempt at humour"""
I swear I accept one friend request on fb then 20 randoms add me,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
RT @LGBTELEVEN: maya hawke                  uma thurman stranger things            in kill bill vol. 1 (2019)…,Not Humorous,"Unsure - ""Statements that make absolutely no attempt at humour"""
"RT @amoebamusic: Want to win tickets to see @robynkonichiwa perform in Los Angeles Saturday, July 27th at @theforum?   RT and follow us to…",Not Humorous,"""Trivia, facts, news headlines"""
RT @Sopebubble_: This is the best thing I've ever done in my life https://t.co/QfnBcopRMD,Unsure,
They cant,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@VG247 I'm really excited I used to watch Digimon in my youth and this game looked so good on PS4. Here's hoping I'… https://t.co/awkBcH4LkK,Not Humorous,"""Statements that make absolutely no attempt at humour"""
There will be detailed guides for the Yeezy Lundmark drop. We will provide all the information you need to have the… https://t.co/d28zDnXNeQ,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"Twitter gay: you guys only like me when I’m shirtless   Same twitter gay: ONLY posts shirtless pictures and nothing else???,",Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
@TylerJCameron3 what are you drinking tonight my man,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @josiewosie_: i just fall in love picture by picture https://t.co/sskiRe9nXp,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @TajinderBagga: *Urgent Blood Required*  Patient Name : *Dileep Kumar Tripathi* Blood Group required : *B+ Positive* Location &amp; Hospital…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"Don McLean - The meaning of American Pie (UPDATE) https://t.co/QI4vohepea via @YouTube  DON MCLEAN'S SONG ""AMERICAN… https://t.co/b6qeaFtMm9",Unsure,
"RT @wrongtxtquote: yoongi: i’m small but knowing  soobin: you don't know what the top shelf looks like, hyung  yoongi:  soobin:  yoongi: ho…",Unsure,Don't understand
RT @bhaskar_tr: Rape has become business to earn money  @GR_Barbarika #MenToo https://t.co/jjjuxO8z6x,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@RUMINT79 @CletusAbernathy @davidmweissman @Rosie You need a house vote to start impeachment hearings my dude. Step… https://t.co/tqzQvKhdJw,Not Humorous,"""Statements that make absolutely no attempt at humour"""
#StartForLife (left 2 pamphlets NHS) vs #ChangeForLife (right 2 #sugartax) No Added Sugar (NAS) = Artificial SWEETE… https://t.co/iMoC2SBLxW,Not Humorous,"""Trivia, facts, news headlines"""
RT @_fairykook: @ stan accounts who treat their mutuals like fans  https://t.co/OwXRciNw2a,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @realDonaldTrump: Spoke to @GOPLeader Kevin McCarthy about the earthquakes in California and informed him that we will be working very c…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @kwonkims: remember when the boys were whining because they didn't want to sleep in separate rooms #KeepHoldingOniKON https://t.co/WaHmW…,Unsure,
"if you come at my boyfriend all friendly and don’t have the decency to introduce yourself to me or say hello, you’r… https://t.co/Hd3oDAa88e",Humorous,"Unsure - ""Tweets that are sarcastic or making fun of things, even possibly a bit offensive.""?"
@gewargas @TeddysMom8 @Lynne_Sippel @destination1111 @Pakeha56 @shez19833 @shoozer12 @Ilanyv2 @ITsalagi… https://t.co/ZhTwdYfpEZ,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @GARATSmeanie: whats your fave concept you've done so far? Cheol: (our) next concept OKAY SVT IS DEFINITELY HAVING A COMEBACK SOON MOM-…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
Nove #AustinMahoneNaMix,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @officialgham: Me in primary school when I put my hand up to tell on a classmate and ask the teacher to go to the toilet instead https:/…,Unsure,
*mimosas &amp; damn twitter can we get an edit button yet 🙄,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
"RT @doyangeprek: Please help support BTS FESTA 2019 , add a #Twibbon now! https://t.co/XuNtH5yAIQ",Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @yonndone_: Y’ALL.😂 Joe Biden said WHO RACIST?  watch until the end of the video😂😂 https://t.co/IiDGRP4sa8,Humorous,"""A tweet containing a 😂 or similar emoji, acronyms like lol, lmao, rofl are most likely humorous"""
RT @steph93065: How can Maurene Comey be involved in prosecuting the Epstein case?   Her family are very big supporters of the Clintons. Wo…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @SvtMinion: Seventeen is a magical group that is very very rare in NY if you see them they bring you happiness and luck in your life  10…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@nicolazzo_e @eorden Not all bad. We're not all bad.,Not Humorous,"""Statements that make absolutely no attempt at humour"""
You can save time lying on the bed until you realize how fucked up traffic in the Philippines,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
RT @nigguhteen: I feel bad for white people cause they have to deal with other white people and face second hand embarrassment when their p…,Humorous,"Unsure - ""Tweets that are sarcastic or making fun of things, even possibly a bit offensive.""?"
Ughh my heart!! ♥️ Zeke is too precious and I know his Tio Luis is watching over him! 😭♥️,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @boshemia: @SDNYnews Thank you for doing what should have been done long ago. These victims deserve to be heard and fought for.   This i…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @tribelaw: Press access to criminal proceedings is a core First Amendment right. My first Supreme Court argument established that: Richm…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @VYSR4: i wanna know how it feels like to be this talented pls im talentless https://t.co/kT2j3o8L5e,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@Boy1drr @prakdip @braeIynn then he gotta stop replyin to me wtf,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @carIys: Going back to bed https://t.co/B3oXs3qWGe,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @UmBongoUK: Win a Mini Arcade...Repeat WIN A MINI ARCADE!!!  This 2 Player Mini Arcade comes with 300 games which you can enjoy out and…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"RT @ottawa_asd_mum: 17/ The Ontario Autism Program *needs* a fresh start, so please, please, start fresh. Step away from the Childhood Budg…",Not Humorous,"""Statements that make absolutely no attempt at humour"""
Congrats!,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @ActuallyGina: when u isolate yourself and people actually forget about you https://t.co/3oOY3Md4Ny,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
RT @TheOnion: Man Wasting His Life Playing Video Games When There Whole World Of Other Screens Out There https://t.co/OoNB81vr5v https://t.…,Humorous,"Unsure - ""Tweets that are sarcastic or making fun of things, even possibly a bit offensive.""?"
@WWEUniverse @WWE @WWERollins @BeckyLynchWWE Enough already with this! https://t.co/enWmp9qb2q,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@QuanFlix_ That shit fireeee,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @saba92767765: @AdnaanManning Nice,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @ewarren: Thank you @EricSwalwell for your commitment to making gun reform front and center in this election. Gun violence is a public h…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@lahsmokinggun It’s a good thing.,Unsure,
RT @nigguhteen: I feel bad for white people cause they have to deal with other white people and face second hand embarrassment when their p…,Humorous,"Unsure - ""Tweets that are sarcastic or making fun of things, even possibly a bit offensive.""?"
me to my friends am i a joke to you?,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
RT @Barnes_Law: Clinton is now claiming the FAA logs are lying about him. https://t.co/bbQPWR4p7n #FoxNews,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @netanyahu: A Palestinian summer camp is teaching children to hate.   They are burning American flags and rejecting every plan for peace…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @trevor_norris0: absolutely no one:  Boyz N Motion: https://t.co/i1rulfqlNk,Not Humorous,"""Statements that make absolutely no attempt at humour"""
Testing my voice on a lo-fi beat how y'all doing,Unsure,Don't understand
RT @YFan914: Here we go again.... some asshole wants to be social media famous... well let’s make him famous people! Retweet away! https://…,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
RT @94ever_rain: tae telling hobi to make a crying face and them both making crying faces together 🥺 https://t.co/a3AJ4sNOKd,Not Humorous,"""Statements that make absolutely no attempt at humour"""
Wishing to be somewhere else but here and it’s alright,Humorous,"""Tweets that are sarcastic or making fun of things, even possibly a bit offensive."""
RT @LAmaleCA: @BBCWorld BAN the Scooter,Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @LilNasX: 14 WEEKS AT NUMBER 1 LETS GOOOOO !!! https://t.co/ecOGen1bKu,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"RT @uhkent: here’s the letter I left to my parents before moving out in english and spanish, I’m never changing who I am 🏳️‍🌈 https://t.co/…",Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @FightfulWrestle: Taker wanted to make his hot tag the hottest hot tag in wrestling history 😂😂😂   https://t.co/0VnMKE60S0,Humorous,"""A tweet containing a 😂 or similar emoji, acronyms like lol, lmao, rofl are most likely humorous"""
RT @Zero_N_Bless: Water for Flint. Now this. One of the youngest celebs but doing the most for his people! I like this energy 🙏🏾 https://t.…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
@GlennRubenstein @WrestlingInc Is it just me or has this couple combo really destroyed both their momentum and made… https://t.co/RQSvuRderx,Not Humorous,"""Statements that make absolutely no attempt at humour"""
Come back to the Gulf Miss Costa!,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"RT @SerieTV46: #HEIZE ""We don't talk together"" feat. Giriboy (Prod. #SUGA) - 09:00 KST:  #1 Bugs (=) #1 Genie (=) #1 Mnet (=) #1 Naver (=)…",Not Humorous,"""Statements that make absolutely no attempt at humour"""
RT @classofshi: how do we support teachers to value surface-level learning as part of the process to deeper learning and understanding to s…,Not Humorous,"""Statements that make absolutely no attempt at humour"""
"We don't look for trouble, we just have fun, but there's always someone tryna show what they can do0o0o0o",Unsure,Don't understand
