Tweet,Annotation,Guideline
"@Just_A_Mug_ Lucky bastard, hope he appreciates what he’s got",Humorous,
@GABrownsGuy You and Mike enjoy Amy Schumer comedy specials,Humorous,
RT @backstreetboys: Wishing our man @CarsonDaly a big happy birthday! https://t.co/pP3XKK7VBC,Not Humorous,
"RT @renyuwe14: Msg to LGBT community  ""I hope we can make a better place together, for everybody, for all equal rights."" - svt vernon",Not Humorous,
RT @3ahr0na4: My #TeenChoice for #ChoiceSummerTour is BLACKPINK IN YOUR AREA @ygofficialblink . https://t.co/5YsPj2vQOa,Not Humorous,
@redblugreenbean agony,Not Humorous,
RT @Bechirhorcheni: @kirimixer @LittleMix Four My #TeenChoice for #ChoiceSummerGroup is @LittleMix,Not Humorous,
"[80's Edition] Saturday, July 13th, Join Me And A Few Other Dopeee Artists Celebrate The Release Of @mrfeelgood87 &amp;… https://t.co/eCWvHmGp3Q",Not Humorous,
RT @yfndell: I feel like turnin up😂,Humorous,
"RT @HESilf: ""greets a fan"" is now my favorite euphemism https://t.co/namyhNuaAl",Humorous,
London stabbing - man in 30s rushed to hospital after ANOTHER stabbing attack as knife crime wave continues https://t.co/4abx7D46pf,Not Humorous,
RT @vncntngyn: just found out sometimes girls cry themselves to sleep at night https://t.co/GwzXPSauV9,Not Humorous,
"RT @PromotionBreezy: Even after 14 years of career, Chris Brown got gold on his last two albums in just one week. 🏆 https://t.co/oSLhUvqmHM",Not Humorous,
Good morning! 🌻🌻,Not Humorous,
"Hello! You. ✋🏼 Stop scrolling for just a sec... I want to know, how are you? Like really! In an ideal world I’d be… https://t.co/Fk0XK9Xjst",Unsure,
"RT @KnightAzyr: Please share this, and maybe commission me if you can. Thank you! https://t.co/R3HZC5rr7m",Not Humorous,
Let's get started!,Not Humorous,
Bummer. Car overheated during 3rd session. Either water pump or thermostat failed. $$$ tow to mechanics right now.,Not Humorous,
"RT @DogasusBackpack: ""I Choose You!"" &amp; ""Everyone's Story"" artist:  Yoshitaka Shinomiya (四宮義俊)  ""Mewtwo Strikes Back Evolution"" artist: Hiji…",Not Humorous,
@itzychavarin 🤣🤣🤣 BITCH,Humorous,
RT @AryaKuli: Crott https://t.co/8xFpYEdMfh,Unsure,
RT @SadFryG: They forced him to drink gasoline then burned him to death yet some still think israel is peaceful. Fuck y’all https://t.co/Gg…,Not Humorous,
"RT @OK_Dumbass: @MollyJongFast Cy Vance also needs to spend some time in prison.  But we already knew that, after his cave-in to Marc Kasow…",Not Humorous,
RT @DEADLINE: Kevin Spacey Assault Case May Be Tossed After Accuser Takes The Fifth Over Deleted Phone Data https://t.co/KFCdKPfG9Q https:/…,Not Humorous,
RT @smithkyliee: I really don’t want people that don’t want better for themselves in my life or around me anymore,Not Humorous,
RT @michaelgervais: How can you remain calm when it seems like you're facing an insurmountable challenge? @acheyer has the answer https://t…,Not Humorous,
"RT @JonahNRO: But since I have your attention, there are a remarkable number of people who think it’s fine to break glass in the woods. Mos…",Not Humorous,
@MineSweepa Fuck em,Not Humorous,
@rxbyxj ARE YOU JOKING THAT HURT MY EARS. ID HATE LIVING NEAR THAT PARK,Humorous,
@musictakesbot So Kurt Cobain's band is Kurt Cobain for jocks. Aight,Humorous,
Ah yes...that’s the photo I was recalling...sure looks like “a” island...but is it “the” island?  Maybe he can prov… https://t.co/D2C8EYcp71,Humorous,
RT @ImReallyOutHere: Today at the happiest place on earth. https://t.co/79j2godsUz,Humorous,
RT @BrendaC07819987: @DrRJKavanagh Cy Vance is the same DA that refused to bring charges of real estate fraud against Ivanka and Don Jr ove…,Not Humorous,
"I messed up the inventory, still some steam shovel hats left. I’m not good at math",Humorous,
RT @MrMcCockiner: Bro it’s fucking insane how dudes born in 2000 are now professional athletes. I remember having Pokémon card battles in K…,Humorous,
"@HarrisonSmith85 I think people are way too hard on this movie.  I mean, the shark jumped out of the water, stood o… https://t.co/Mf9JRH6KIv",Humorous,
And here we go https://t.co/gkRnL84VcA,Not Humorous,
RT @Nakamura3E: The way they can't reach each other💔 https://t.co/k5jFcuyCyi,Not Humorous,
"@Melodic__Cudgel ""Roman?""",Unsure,
RT @TrumpStudents: @realDonaldTrump @GOPLeader @GavinNewsom Thank you President Trump for Keeping America Safe 🇺🇸,Not Humorous,
"RT @latalani: If we flop w the voting this time when it’s an ACTUAL CATEGORY WE’RE NOMINATED UNDER, imma be pressed  Ik I’m a super small a…",Unsure,
@derek11027093 @YouTube Sorry can't listen won't stay connected don't like them a whole lot a few but,Unsure,
RT @Ibra_official: My favourite team of all time. I only have to decide the coach. Maybe will be Zlatan https://t.co/MvRN5krxPc,Not Humorous,
@ssbu_MGF i remember abt this one guy who posted ********* **** gifs all the time,Humorous,
RT @arnellarmon: Stop holding onto people that didn’t appreciate you when they had you,Not Humorous,
"Houndour Lvl 35 cp 1146 iv 100 -33.400138,-70.592633",Unsure,
RT @goodbeanalt: her: I like guys that are 6 feet😍😍  me: *looking down at my 2 feet* shit,Humorous,
"About #marketing, #sales, #communication: https://t.co/WImo9nXeW9",Not Humorous,
"RT @MayorofLondon: Our new cycling infrastructure, including protected bike lanes, has meant more Londoners are using bicycles to get aroun…",Not Humorous,
Today has been a mentally draining ass day😴,Humorous,
Florida’s Utilities Keep Homeowners From Making the Most of Solar Power https://t.co/yIPgdkZU9E,Not Humorous,
@wthyunho @: ☆☆☆☆☆ layout: ☆☆☆☆☆ bio: ☆☆☆☆☆ pinned: ☆☆☆☆☆,Unsure,
@michaeljohns @Anonagain3 @LBC Back across the pond for this one.,Not Humorous,
@coachdan_19 Skills alone isn't a guarantee for success.. You think Messi and Ronaldo dwell  and thrive only on nat… https://t.co/P9gDHCxwqv,Not Humorous,
There’s been people in my DMs asking me about wholesaling and I put my ego aside and tell folks that I’m new and fr… https://t.co/wLO2l0uDPs,Unsure,
@kheti_thegreat Nappy Hut Savannah it’s beside the school,Not Humorous,
RT @___Alasiah: I’m still young but I’m ready to have it ALL together 😭,Humorous,
Do I wanna have sex with my girls mother or my girl when she gets older?... hmm,Humorous,
Heat damage is such a scary thing. I don’t ever want to experience it. I avoid straighteners &amp; hairdryers like the plague 😂😭,Humorous,
There's an Adelaide link to the Home Run Derby!  @Dodgers 3B coach Dino Ebel was an import for the Adelaide Giants… https://t.co/FytQZ1frKZ,Not Humorous,
RT @ShannonSharpe: Agree or Disagree? https://t.co/FmLUGzxqHT,Not Humorous,
RT @eveestg: THEY PLAYED THE WRONG SONG FOR THE NATIONAL ANTHEM I- https://t.co/7hM1riH1IO,Humorous,
"RT @billboardcharts: This week's top 5 on the #WorldDigitalSongSales chart:  1. @BTS_twt ""Heartbeat"" (debut) 2. @BTS_twt ""Lights"" (debut) 3…",Not Humorous,
RT @TeenChoiceFOX: Don't sleep on retweeting this to vote for @billieeilish's When We All Fall Asleep Tour for #ChoiceSummerTour! 💤 #TeenCh…,Not Humorous,
"RT @MarkWarner: REMINDER: in under 24 hours, the Trump Administration will head to court to overturn the Affordable Care Act and   ❌  Strik…",Not Humorous,
u know you're coping up with depression too well when you're doing your kilay too strong. leggo kick some negativit… https://t.co/vmlz9G9lZJ,Not Humorous,
@dbongino Gotta find me some Home Depot.,Humorous,
RT @BeshieKaories: I'm sure lalayag ulit to pero it'll be blue na !  Can't wait💙     @kaori_oinuma @DarlingKaori @PBBabscbn #BringBackKAORI…,Unsure,
"RT @nuearthangel: If you've never known what a healthy relationship is, you may subconciously try to create chaos because you feel ""bored""…",Not Humorous,
RT @ArmyBrigade13: To gather stars  1. Go to events   2. Scroll to the bottom until you find the star  3. Click the star and you are given…,Humorous,
How the fuck do you have an elimination mixed tag without intergender? #wwe #RAW,Not Humorous,
"@catfynli i.... LOVE THIS.......... my horse girl, warrior stan heart is so full 💓😭",Humorous,
RT @FHawk94: I'm live everyone &lt;3 Come check me out on mixer at  https://t.co/KGqSPxSy8I @WatchMixer @MixerShares @MixerStreams @MixerRetwe…,Not Humorous,
RT @judyschear: Love this. ❤️   Parents: don’t abandon your kids.  It’s heartbreaking.  #Pride2019 https://t.co/O3M2W79Rx8,Not Humorous,
"@marklevinshow I don't really care if anyone likes or dislikes our country. I love it, but that's the beauty of our country.",Not Humorous,
RT @shancherxo: look at her face 😂😭 this is toddlers when you ask them what’s in their mouth. https://t.co/e3cl6QacLT,Humorous,
RT @OGTREEZ: Me at work acting fake busy for the last 30 minutes of my shift https://t.co/BIu2GJTZPR,Humorous,
RT @SourceDuMal: This is how you market a bra. This is a STRAPLESS BRA she is doing a cartwheel in people. This company goes up to a K cup.…,Humorous,
"RT @LiiiimDixoonn: In Singapore, they let you drown in anything. Debts, depression, stress, bedok reservoir etc. https://t.co/fO5B92s2go",Humorous,
I feel like crying. It's ok tho,Not Humorous,
Finally finished stranger things and I'm just fucking !!!!!!!! UGH,Not Humorous,
I swear I accept one friend request on fb then 20 randoms add me,Humorous,
RT @LGBTELEVEN: maya hawke                  uma thurman stranger things            in kill bill vol. 1 (2019)…,Not Humorous,
"RT @amoebamusic: Want to win tickets to see @robynkonichiwa perform in Los Angeles Saturday, July 27th at @theforum?   RT and follow us to…",Not Humorous,
RT @Sopebubble_: This is the best thing I've ever done in my life https://t.co/QfnBcopRMD,Unsure,
They cant,Not Humorous,
@VG247 I'm really excited I used to watch Digimon in my youth and this game looked so good on PS4. Here's hoping I'… https://t.co/awkBcH4LkK,Not Humorous,
There will be detailed guides for the Yeezy Lundmark drop. We will provide all the information you need to have the… https://t.co/d28zDnXNeQ,Not Humorous,
"Twitter gay: you guys only like me when I’m shirtless   Same twitter gay: ONLY posts shirtless pictures and nothing else???,",Humorous,
@TylerJCameron3 what are you drinking tonight my man,Not Humorous,
RT @josiewosie_: i just fall in love picture by picture https://t.co/sskiRe9nXp,Not Humorous,
RT @TajinderBagga: *Urgent Blood Required*  Patient Name : *Dileep Kumar Tripathi* Blood Group required : *B+ Positive* Location &amp; Hospital…,Not Humorous,
"Don McLean - The meaning of American Pie (UPDATE) https://t.co/QI4vohepea via @YouTube  DON MCLEAN'S SONG ""AMERICAN… https://t.co/b6qeaFtMm9",Unsure,
"RT @wrongtxtquote: yoongi: i’m small but knowing  soobin: you don't know what the top shelf looks like, hyung  yoongi:  soobin:  yoongi: ho…",Humorous,
RT @bhaskar_tr: Rape has become business to earn money  @GR_Barbarika #MenToo https://t.co/jjjuxO8z6x,Not Humorous,
@RUMINT79 @CletusAbernathy @davidmweissman @Rosie You need a house vote to start impeachment hearings my dude. Step… https://t.co/tqzQvKhdJw,Not Humorous,
#StartForLife (left 2 pamphlets NHS) vs #ChangeForLife (right 2 #sugartax) No Added Sugar (NAS) = Artificial SWEETE… https://t.co/iMoC2SBLxW,Not Humorous,
RT @_fairykook: @ stan accounts who treat their mutuals like fans  https://t.co/OwXRciNw2a,Not Humorous,
RT @realDonaldTrump: Spoke to @GOPLeader Kevin McCarthy about the earthquakes in California and informed him that we will be working very c…,Not Humorous,
RT @kwonkims: remember when the boys were whining because they didn't want to sleep in separate rooms #KeepHoldingOniKON https://t.co/WaHmW…,Not Humorous,
"if you come at my boyfriend all friendly and don’t have the decency to introduce yourself to me or say hello, you’r… https://t.co/Hd3oDAa88e",Not Humorous,
@gewargas @TeddysMom8 @Lynne_Sippel @destination1111 @Pakeha56 @shez19833 @shoozer12 @Ilanyv2 @ITsalagi… https://t.co/ZhTwdYfpEZ,Not Humorous,
RT @GARATSmeanie: whats your fave concept you've done so far? Cheol: (our) next concept OKAY SVT IS DEFINITELY HAVING A COMEBACK SOON MOM-…,Not Humorous,
Nove #AustinMahoneNaMix,Not Humorous,
RT @officialgham: Me in primary school when I put my hand up to tell on a classmate and ask the teacher to go to the toilet instead https:/…,Humorous,
*mimosas &amp; damn twitter can we get an edit button yet 🙄,Humorous,
"RT @doyangeprek: Please help support BTS FESTA 2019 , add a #Twibbon now! https://t.co/XuNtH5yAIQ",Not Humorous,
RT @yonndone_: Y’ALL.😂 Joe Biden said WHO RACIST?  watch until the end of the video😂😂 https://t.co/IiDGRP4sa8,Humorous,
RT @steph93065: How can Maurene Comey be involved in prosecuting the Epstein case?   Her family are very big supporters of the Clintons. Wo…,Not Humorous,
RT @SvtMinion: Seventeen is a magical group that is very very rare in NY if you see them they bring you happiness and luck in your life  10…,Not Humorous,
@nicolazzo_e @eorden Not all bad. We're not all bad.,Not Humorous,
You can save time lying on the bed until you realize how fucked up traffic in the Philippines,Humorous,
RT @nigguhteen: I feel bad for white people cause they have to deal with other white people and face second hand embarrassment when their p…,Not Humorous,
Ughh my heart!! ♥️ Zeke is too precious and I know his Tio Luis is watching over him! 😭♥️,Humorous,
RT @boshemia: @SDNYnews Thank you for doing what should have been done long ago. These victims deserve to be heard and fought for.   This i…,Not Humorous,
RT @tribelaw: Press access to criminal proceedings is a core First Amendment right. My first Supreme Court argument established that: Richm…,Not Humorous,
RT @VYSR4: i wanna know how it feels like to be this talented pls im talentless https://t.co/kT2j3o8L5e,Humorous,
@Boy1drr @prakdip @braeIynn then he gotta stop replyin to me wtf,Not Humorous,
RT @carIys: Going back to bed https://t.co/B3oXs3qWGe,Unsure,
RT @UmBongoUK: Win a Mini Arcade...Repeat WIN A MINI ARCADE!!!  This 2 Player Mini Arcade comes with 300 games which you can enjoy out and…,Not Humorous,
"RT @ottawa_asd_mum: 17/ The Ontario Autism Program *needs* a fresh start, so please, please, start fresh. Step away from the Childhood Budg…",Not Humorous,
Congrats!,Not Humorous,
RT @ActuallyGina: when u isolate yourself and people actually forget about you https://t.co/3oOY3Md4Ny,Unsure,
RT @TheOnion: Man Wasting His Life Playing Video Games When There Whole World Of Other Screens Out There https://t.co/OoNB81vr5v https://t.…,Humorous,
@WWEUniverse @WWE @WWERollins @BeckyLynchWWE Enough already with this! https://t.co/enWmp9qb2q,Not Humorous,
@QuanFlix_ That shit fireeee,Humorous,
RT @saba92767765: @AdnaanManning Nice,Not Humorous,
RT @ewarren: Thank you @EricSwalwell for your commitment to making gun reform front and center in this election. Gun violence is a public h…,Not Humorous,
@lahsmokinggun It’s a good thing.,Not Humorous,
RT @nigguhteen: I feel bad for white people cause they have to deal with other white people and face second hand embarrassment when their p…,Not Humorous,
me to my friends am i a joke to you?,Humorous,
RT @Barnes_Law: Clinton is now claiming the FAA logs are lying about him. https://t.co/bbQPWR4p7n #FoxNews,Not Humorous,
RT @netanyahu: A Palestinian summer camp is teaching children to hate.   They are burning American flags and rejecting every plan for peace…,Not Humorous,
RT @trevor_norris0: absolutely no one:  Boyz N Motion: https://t.co/i1rulfqlNk,Humorous,
Testing my voice on a lo-fi beat how y'all doing,Humorous,
RT @YFan914: Here we go again.... some asshole wants to be social media famous... well let’s make him famous people! Retweet away! https://…,Humorous,
RT @94ever_rain: tae telling hobi to make a crying face and them both making crying faces together 🥺 https://t.co/a3AJ4sNOKd,Humorous,
Wishing to be somewhere else but here and it’s alright,Not Humorous,
RT @LAmaleCA: @BBCWorld BAN the Scooter,Unsure,
RT @LilNasX: 14 WEEKS AT NUMBER 1 LETS GOOOOO !!! https://t.co/ecOGen1bKu,Unsure,
"RT @uhkent: here’s the letter I left to my parents before moving out in english and spanish, I’m never changing who I am 🏳️‍🌈 https://t.co/…",Not Humorous,
RT @FightfulWrestle: Taker wanted to make his hot tag the hottest hot tag in wrestling history 😂😂😂   https://t.co/0VnMKE60S0,Humorous,
RT @Zero_N_Bless: Water for Flint. Now this. One of the youngest celebs but doing the most for his people! I like this energy 🙏🏾 https://t.…,Not Humorous,
@GlennRubenstein @WrestlingInc Is it just me or has this couple combo really destroyed both their momentum and made… https://t.co/RQSvuRderx,Not Humorous,
Come back to the Gulf Miss Costa!,Not Humorous,
"RT @SerieTV46: #HEIZE ""We don't talk together"" feat. Giriboy (Prod. #SUGA) - 09:00 KST:  #1 Bugs (=) #1 Genie (=) #1 Mnet (=) #1 Naver (=)…",Not Humorous,
RT @classofshi: how do we support teachers to value surface-level learning as part of the process to deeper learning and understanding to s…,Not Humorous,
"We don't look for trouble, we just have fun, but there's always someone tryna show what they can do0o0o0o",Humorous,
RT @catturd2: Apple Co-Founder Steve Wozniak Says Everyone Should Delete Facebook Because Conversations Aren’t Private.   No problem - neve…,Not Humorous,
RT @beemyhope_: bruh i will never forget that day when bighit has suddenly dropped the tour dates and ticket selling for sy tour and a lot…,Not Humorous,
RT @Criterion: Our Pedro Almodóvar retrospective has begun! ⚡️❤️Get a taste of the films on view—which showcase his unique ability to blend…,Not Humorous,
RT @HOBIlIlIll: Why snoop looks like he’s at a fan sign https://t.co/QE5SDXhWD8,Humorous,
RT @sparkIy: me at 4am setting my alarm for 6:15 6:30 6:45 and 7:00 https://t.co/jCMD06DBdL,Humorous,
RT @MariahCarey: Today’s episode of #MomentsWithMimi is live on my IGTV! @marshmellomusic is Roc &amp; Roe's favorite artist so we decided to s…,Not Humorous,
Deep State wins again: unelected federal judge rules against Trump on drug pricing disclosures https://t.co/O5PYOdL9Dg #DeepState #BigPharma,Not Humorous,
I feel another all nighter coming on,Unsure,
RT @Crophugger: Pete Buttigieg Strikes Out on Racism and Police https://t.co/oJ5LOryp4N,Not Humorous,
"RT @DiivesArt: Please, GIMME 10! 😍💦 #diives #xingzuotemple #xingzuo_temple https://t.co/IkoGpZtqFj",Humorous,
RT @BarstoolRia: Are we going with Pilot Pete or Pete the Pilot? Let’s settle this once and for all #TheBachelorette,Humorous,
RT @OperatorOperatn: Live for the night. Ranked @PlayApex.  https://t.co/bWiyYQIhnW  @UnjustifiedGG,Not Humorous,
RT @RyanDestiny: super exciteddd. love this show! hopefully I fit in ok😬💙 https://t.co/EQCEW8PvA7,Humorous,
"@Bigseats12 Thank you for the follow! Much appreciated, sorry j missed it right away.",Not Humorous,
RT @MohamedAlKhoor: Dont ask me why im mad when u don’t have the mental capacity to understand what you did wrong.,Not Humorous,
RT @DougBowen5: @SenSchumer They are not prisoners and can go back  home if they want. Why can’t Mexico take them?,Not Humorous,
RT @Unexplained: We got this new guy at work...He’s really nice. https://t.co/oHHqdr3bCu,Unsure,
@Spiritsncrystal OMG THEYD BE THE ULTIMATE DUO,Humorous,
RT @kmaarrie: i wanna travel with you &amp; fuck in every city we go to,Unsure,
RT @YUNGBANS: I can’t beef with no city girl 💁🏾‍♀️ https://t.co/bFc6vt7NwW,Humorous,
"@VP @CBP @HHSGov #potus said, he's been &amp; seen some of the facilities.!? FUCKING BULLSHIT LIE. YOU AND HIM BOTH HAV… https://t.co/U3nbJgKs4t",Not Humorous,
@HGlorioso1996 @MizRvnTCB @Becky_Boo274 Soooooper hard 😂🐻,Humorous,
RT @btsdistortedvid: yeontan sweetie im so sorry,Not Humorous,
Is it weird to be attracted to animated characters? Asking for a friend 😅,Humorous,
RT @aftermovie: So much Hardin ink… Does anyone have an “After” tat? 🖤 #AfterMovie https://t.co/ccVfujMACl,Humorous,
@minabff apparently. tis wut i hav Heard,Not Humorous,
RT @CosechaMovement: 🔴 LIVE: hundreds of Jewish allies are marching through Chicago in solidarity with undocumented immigrants to demand an…,Not Humorous,
RT @ChrisMurphyCT: Your afternoon reminder that tomorrow the Trump administration is going to court to overturn protections for 130 million…,Not Humorous,
"@TaylorLorenz Air-conditioning saves countless lives every year,  you imbecile.  Good god where are they coming fro… https://t.co/EO6VCksvtg",Not Humorous,
"RT @solomonbrett: Worth a read - just when journalists needs the internet the most, is often the time when governments deliberately shut it…",Not Humorous,
Fine Fashion Jewelry Blue Sapphire Size:6 Women's Ring 18K white Gold Filled | eBay  https://t.co/EvlG94Bbx3 https://t.co/5Ff80UF0W7,Not Humorous,
RT @alyssalimp: Me and my gals in college: yaaaas let’s drink this BAG of wine &amp; go DAAAANCING  Me and my gals now: Ok so what you are expe…,Humorous,
RT @MariahCarey: Challenge accepted! #bottletopchallenge https://t.co/Rygijd6z5W,Not Humorous,
RT @Stplmstr: Forgot to upload some fusionings so here be some more :D #pokemon #Pokefusions #pokemonfusions https://t.co/DOZ8RWQHqL,Humorous,
RT @vinnybrack: This is an act of terrorism  https://t.co/suPplvRFZs,Not Humorous,
"RT @Evomanaphy: I heard that Bea is shredded, that she has an eight pack 👀  #PokemonSwordShield https://t.co/vf2bvjFlkb",Humorous,
Cell Phone Courtesy Month is the perfect time to remind you not to text and drive! https://t.co/GKcJpSn27S,Humorous,
i'm going to say this one last time...  this is MY twitter account where i can tweet whatever the FUCK i want to. i… https://t.co/02xaf8tJU0,Humorous,
@barstoolsports @OldRowOfficial @5thYear OH MY GOD. THIS IS @cartereaux 😂😂😂😂😂,Humorous,
Look at him I love him https://t.co/IESaa4nom3,Unsure,
"RT @gauthamrao: Overheard at Whole Foods, Silver Spring   Husband: I didn’t know there was a women’s World Cup.  Wife: say it louder so eve…",Humorous,
@nyalachi yeah.😯,Humorous,
Ivanka Trump: Viral shot of Donald Trump with daughter and Jeffrey Epstein exposed as hoax https://t.co/OPcHEL80cZ https://t.co/TobgLrykSw,Not Humorous,
RT @mari23rios: I would leave my keys locked in my car 🤦🏽‍♀️,Humorous,
aint got to tell me twiceee,Not Humorous,
RT @ihatejoelkim: When I see a tweet on Instagram it does sometimes feel like someone trying to turn in the same homework assignment for tw…,Humorous,
Well Fox... Mexico showed you who is better. https://t.co/KCfsREt9v1,Not Humorous,
RT @AuntLulie: OR is it because Mueller will not support the summary you wrote or the redacted report or the refusal to issue the full unre…,Not Humorous,
RT @Tara4MAGA: Former President Bill Clinton has issued a statement saying he “knows nothing about the terrible crimes Jeffrey Epstein plea…,Not Humorous,
#JeffreyEpstein #LolitaExpress  Jeffrey Epstein: traveled alongside Bill Clinton and Kevin Spacey https://t.co/6urmoWcIXY,Not Humorous,
Jeffrey Epstein: Financier charged with sex trafficking minors - BBC News Pleads not guilty because he thought the… https://t.co/nxXKErjh3k,Not Humorous,
@nvmbwrId @taescosmo that’s harsh,Not Humorous,
Love you too 💕💕💕🎼🎧,Humorous,
"Now I wouldn't say I'm totally manipulative, demanding and in control (fuck I'm all that 💀) But this is how I'm try… https://t.co/1s0c6LndTM",Humorous,
RT @abhishkJntrMnt: God ordered Living Beings to be Vegetarians - Holy Bible Those who eat meat are going against God. #MondayMotivation,Not Humorous,
"RT @hsalover: bitches love memo ochoa, it’s me I’m bitches https://t.co/REwUWKhDYs",Humorous,
RT @robinshawkins: eleven in season 1 episode 7 “the bathtub” https://t.co/a6wMDGv8zz,Not Humorous,
@yoongitrbll i’m late but 🗿,Humorous,
Also please don’t send me ccs asking when ems will be sent out or when I’ll be forwarding things from my kaddress e… https://t.co/mbIoqH4w6O,Not Humorous,
@OhDapperDan I could see you becoming a professional Dungeon master.,Unsure,
@blazeymc91 @shaunjlawson I was a much happier person when I was politically disengaged.,Not Humorous,
RT @bniceloco: How that McDonald’s sprite be hittin https://t.co/KmTiWEt2fM,Humorous,
SHOUT OUT TO YOU FOR THIS ONE!!!! https://t.co/R54tADIXC9,Humorous,
