id,tweet,label
139,"if you come at my boyfriend all friendly and don’t have the decency to introduce yourself to me or say hello, you’r… <url>",1
140,<user> <user> <user> <user> <user> <user> <user> <user> <user>… <url>,1
141,<user>: whats your fave concept you've done so far? Cheol: (our) next concept OKAY SVT IS DEFINITELY HAVING A COMEBACK SOON MOM-…,1
142,Nove #AustinMahoneNaMix,1
143,<user>: Me in primary school when I put my hand up to tell on a classmate and ask the teacher to go to the toilet instead https:/…,0
144,*mimosas &amp; damn twitter can we get an edit button yet 🙄,0
145,"<user>: Please help support BTS FESTA 2019 , add a #Twibbon now! <url>",1
146,<user>: Y’ALL.😂 Joe Biden said WHO RACIST?  watch until the end of the video😂😂 <url>,0
147,<user>: How can Maurene Comey be involved in prosecuting the Epstein case?   Her family are very big supporters of the Clintons. Wo…,1
148,<user>: Seventeen is a magical group that is very very rare in NY if you see them they bring you happiness and luck in your life  10…,1
149,<user> <user> Not all bad. We're not all bad.,1
150,You can save time lying on the bed until you realize how fucked up traffic in the Philippines,0
151,<user>: I feel bad for white people cause they have to deal with other white people and face second hand embarrassment when their p…,1
152,Ughh my heart!! ♥️ Zeke is too precious and I know his Tio Luis is watching over him! 😭♥️,1
153,<user>: <user> Thank you for doing what should have been done long ago. These victims deserve to be heard and fought for.   This i…,1
154,<user>: Press access to criminal proceedings is a core First Amendment right. My first Supreme Court argument established that: Richm…,1
155,<user>: i wanna know how it feels like to be this talented pls im talentless <url>,0
156,<user> <user> <user> then he gotta stop replyin to me wtf,1
157,<user>: Going back to bed <url>,1
158,<user>: Win a Mini Arcade...Repeat WIN A MINI ARCADE!!!  This 2 Player Mini Arcade comes with 300 games which you can enjoy out and…,1
159,"<user>: 17/ The Ontario Autism Program *needs* a fresh start, so please, please, start fresh. Step away from the Childhood Budg…",1
160,Congrats!,1
161,<user>: when u isolate yourself and people actually forget about you <url>,0
162,<user>: Man Wasting His Life Playing Video Games When There Whole World Of Other Screens Out There <url> https://t.…,0
163,<user> <user> <user> <user> Enough already with this! <url>,1
164,<user> That shit fireeee,0
165,<user>: <user> Nice,1
166,<user>: Thank you <user> for your commitment to making gun reform front and center in this election. Gun violence is a public h…,1
167,<user> It’s a good thing.,1
168,<user>: I feel bad for white people cause they have to deal with other white people and face second hand embarrassment when their p…,0
169,me to my friends am i a joke to you?,0
170,<user>: Clinton is now claiming the FAA logs are lying about him. <url> #FoxNews,1
171,<user>: A Palestinian summer camp is teaching children to hate.   They are burning American flags and rejecting every plan for peace…,1
172,<user>: absolutely no one:  Boyz N Motion: <url>,0
173,Testing my voice on a lo-fi beat how y'all doing,1
174,<user>: Here we go again.... some asshole wants to be social media famous... well let’s make him famous people! Retweet away! https://…,0
175,<user>: tae telling hobi to make a crying face and them both making crying faces together 🥺 <url>,1
176,Wishing to be somewhere else but here and it’s alright,1
177,<user>: <user> BAN the Scooter,1
178,<user>: 14 WEEKS AT NUMBER 1 LETS GOOOOO !!! <url>,1
179,"<user>: here’s the letter I left to my parents before moving out in english and spanish, I’m never changing who I am 🏳️‍🌈 <url>…",1
180,<user>: Taker wanted to make his hot tag the hottest hot tag in wrestling history 😂😂😂   <url>,0
181,<user>: Water for Flint. Now this. One of the youngest celebs but doing the most for his people! I like this energy 🙏🏾 https://t.…,1
182,<user> <user> Is it just me or has this couple combo really destroyed both their momentum and made… <url>,1
183,Come back to the Gulf Miss Costa!,1
184,"<user>: #HEIZE ""We don't talk together"" feat. Giriboy (Prod. #SUGA) - 09:00 KST:  #1 Bugs (=) #1 Genie (=) #1 Mnet (=) #1 Naver (=)…",1
185,<user>: how do we support teachers to value surface-level learning as part of the process to deeper learning and understanding to s…,1
186,"We don't look for trouble, we just have fun, but there's always someone tryna show what they can do0o0o0o",1
187,<user>: Apple Co-Founder Steve Wozniak Says Everyone Should Delete Facebook Because Conversations Aren’t Private.   No problem - neve…,1
188,<user>: bruh i will never forget that day when bighit has suddenly dropped the tour dates and ticket selling for sy tour and a lot…,1
189,<user>: Our Pedro Almodóvar retrospective has begun! ⚡️❤️Get a taste of the films on view—which showcase his unique ability to blend…,1
190,<user>: Why snoop looks like he’s at a fan sign <url>,0
191,<user>: me at 4am setting my alarm for 6:15 6:30 6:45 and 7:00 <url>,0
192,<user>: Today’s episode of #MomentsWithMimi is live on my IGTV! <user> is Roc &amp; Roe's favorite artist so we decided to s…,1
193,Deep State wins again: unelected federal judge rules against Trump on drug pricing disclosures <url> #DeepState #BigPharma,1
194,I feel another all nighter coming on,1
195,<user>: Pete Buttigieg Strikes Out on Racism and Police <url>,1
196,"<user>: Please, GIMME 10! 😍💦 #diives #xingzuotemple #xingzuo_temple <url>",1
197,<user>: Are we going with Pilot Pete or Pete the Pilot? Let’s settle this once and for all #TheBachelorette,1
198,<user>: Live for the night. Ranked <user>.  <url>  <user>,1
199,<user>: super exciteddd. love this show! hopefully I fit in ok😬💙 <url>,1
200,"<user> Thank you for the follow! Much appreciated, sorry j missed it right away.",1
201,<user>: Dont ask me why im mad when u don’t have the mental capacity to understand what you did wrong.,1
202,<user>: <user> They are not prisoners and can go back  home if they want. Why can’t Mexico take them?,1
203,<user>: We got this new guy at work...He’s really nice. <url>,1
204,<user> OMG THEYD BE THE ULTIMATE DUO,1
205,<user>: i wanna travel with you &amp; fuck in every city we go to,1
206,<user>: I can’t beef with no city girl 💁🏾‍♀️ <url>,0
207,"<user> <user> <user> #potus said, he's been &amp; seen some of the facilities.!? FUCKING BULLSHIT LIE. YOU AND HIM BOTH HAV… <url>",1
208,<user> <user> <user> Soooooper hard 😂🐻,0
209,<user>: yeontan sweetie im so sorry,1
210,Is it weird to be attracted to animated characters? Asking for a friend 😅,0
211,<user>: So much Hardin ink… Does anyone have an “After” tat? 🖤 #AfterMovie <url>,1
212,<user> apparently. tis wut i hav Heard,1
213,<user>: 🔴 LIVE: hundreds of Jewish allies are marching through Chicago in solidarity with undocumented immigrants to demand an…,1
214,<user>: Your afternoon reminder that tomorrow the Trump administration is going to court to overturn protections for 130 million…,1
215,"<user> Air-conditioning saves countless lives every year,  you imbecile.  Good god where are they coming fro… <url>",0
216,"<user>: Worth a read - just when journalists needs the internet the most, is often the time when governments deliberately shut it…",1
217,Fine Fashion Jewelry Blue Sapphire Size:6 Women's Ring 18K white Gold Filled | eBay  <url> <url>,1
218,<user>: Me and my gals in college: yaaaas let’s drink this BAG of wine &amp; go DAAAANCING  Me and my gals now: Ok so what you are expe…,0
219,<user>: Challenge accepted! #bottletopchallenge <url>,1
220,<user>: Forgot to upload some fusionings so here be some more :D #pokemon #Pokefusions #pokemonfusions <url>,1
221,<user>: This is an act of terrorism  <url>,1
222,"<user>: I heard that Bea is shredded, that she has an eight pack 👀  #PokemonSwordShield <url>",1
223,Cell Phone Courtesy Month is the perfect time to remind you not to text and drive! <url>,1
224,i'm going to say this one last time...  this is MY twitter account where i can tweet whatever the FUCK i want to. i… <url>,1
225,<user> <user> <user> OH MY GOD. THIS IS <user> 😂😂😂😂😂,0
226,Look at him I love him <url>,1
227,"<user>: Overheard at Whole Foods, Silver Spring   Husband: I didn’t know there was a women’s World Cup.  Wife: say it louder so eve…",0
228,<user> yeah.😯,1
229,Ivanka Trump: Viral shot of Donald Trump with daughter and Jeffrey Epstein exposed as hoax <url> <url>,1
230,<user>: I would leave my keys locked in my car 🤦🏽‍♀️,0
231,aint got to tell me twiceee,1
232,<user>: When I see a tweet on Instagram it does sometimes feel like someone trying to turn in the same homework assignment for tw…,0
233,Well Fox... Mexico showed you who is better. <url>,1
234,<user>: OR is it because Mueller will not support the summary you wrote or the redacted report or the refusal to issue the full unre…,1
235,<user>: Former President Bill Clinton has issued a statement saying he “knows nothing about the terrible crimes Jeffrey Epstein plea…,1
236,#JeffreyEpstein #LolitaExpress  Jeffrey Epstein: traveled alongside Bill Clinton and Kevin Spacey <url>,1
237,Jeffrey Epstein: Financier charged with sex trafficking minors - BBC News Pleads not guilty because he thought the… <url>,1
238,<user> <user> that’s harsh,1
239,Love you too 💕💕💕🎼🎧,1
240,"Now I wouldn't say I'm totally manipulative, demanding and in control (fuck I'm all that 💀) But this is how I'm try… <url>",0
241,<user>: God ordered Living Beings to be Vegetarians - Holy Bible Those who eat meat are going against God. #MondayMotivation,1
242,"<user>: bitches love memo ochoa, it’s me I’m bitches <url>",0
243,<user>: eleven in season 1 episode 7 “the bathtub” <url>,1
244,<user> i’m late but 🗿,1
245,Also please don’t send me ccs asking when ems will be sent out or when I’ll be forwarding things from my kaddress e… <url>,1
246,<user> I could see you becoming a professional Dungeon master.,1
247,<user> <user> I was a much happier person when I was politically disengaged.,0
248,<user>: How that McDonald’s sprite be hittin <url>,0
249,SHOUT OUT TO YOU FOR THIS ONE!!!! <url>,1
